PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0zvUn,rnbq1rk1/p3bp1p/1pp2np1/3p4/7Q/1P1BP3/P1PPNPPP/RNB2RK1 w - - 1 12,c1b2 f6h5 h4a4 b6b5 d3b5 c6b5,2269,86,87,897,advantage long opening quietMove,https://lichess.org/pEehvWEW#23,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations
10UWw,2r3k1/4qpp1/p3p2p/1p2N3/n2Q4/4P3/PP3PPP/1K1R4 w - - 0 26,d4d7 e7c5 d7f7 g8h8,2269,76,79,72,advantage endgame short,https://lichess.org/njZ3TfKA#51,
10iM8,1r2k2r/1bq2pp1/p3pb1p/2p1N3/2P1Nn2/P2Q4/1B4PP/R4RK1 w k - 0 20,f1f4 b7e4 f4e4 b8b2,2269,86,89,733,advantage discoveredAttack middlegame short,https://lichess.org/VLJzTKgr#39,
031mx,8/5pk1/8/8/1R2npp1/1B6/PP3PPK/4r3 w - - 4 41,g2g3 f4f3 b4e4 e1e4,2268,77,82,559,crushing endgame short,https://lichess.org/TqlzDxI8#81,
045BS,8/8/2p3kp/1pPp1pp1/p2P1PP1/P4K1P/1P6/8 b - - 5 40,h6h5 g4h5 g6h5 f4g5,2268,76,86,473,crushing endgame pawnEndgame short,https://lichess.org/i5nTil2v/black#80,
07RDw,rnb2rk1/pp4pp/1q2p3/8/2P3n1/2NBBN2/PPQ2KPP/R6R w - - 3 13,f2g3 b6e3 d3h7 g8h8,2268,81,90,497,crushing middlegame short,https://lichess.org/LUu5H7DY#25,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation
0Fbhm,8/8/7p/1K1k1Pp1/6P1/8/8/8 w - - 0 43,f5f6 d5e6 b5c5 e6f6 c5d4 f6g6 d4d3 h6h5,2268,84,90,329,crushing endgame pawnEndgame veryLong,https://lichess.org/iLH91CvS#85,
0MPlr,8/R4p1p/2p3pk/1p6/1P6/2Q1P2P/5qBK/3r4 w - - 2 36,c3e5 f2g1 h2g3 d1d5 a7a1 g1g2 g3g2 d5e5,2268,86,79,57,advantage endgame pin veryLong,https://lichess.org/btWpN6mF#71,
0OkpH,8/1B1P1pk1/1p5R/p7/Pr6/3K2b1/8/8 b - - 0 42,b4b1 d3c2 g3c7 h6c6 b1c1 c2c1,2268,80,90,661,crushing endgame long,https://lichess.org/Ix6llOmu/black#84,
0PZcQ,6k1/1p3np1/p2q1p1p/2pPrB2/P1P2QPP/1P4K1/8/5R2 w - - 1 32,f5e6 g7g5 h4g5 h6g5 f4e5 d6e5,2268,78,76,57,crushing endgame long master,https://lichess.org/6oM2sN4a#63,
0RxY4,6k1/Q4p1p/4p1p1/1B1p4/3P4/1P5P/Pqr3P1/4R2K w - - 0 30,e1e2 b2c1 h1h2 c1f4 g2g3 c2e2 b5e2 f4f2 h2h1 f2e1,2268,77,79,125,advantage endgame fork veryLong,https://lichess.org/QeyKxH0U#59,
0Y3vo,r2q2k1/2R3p1/1Q1Np3/3bPp1p/5P1P/Pp2K1P1/8/8 b - - 0 35,a8b8 b6a7 d8f8 c7f7,2268,118,60,19,crushing endgame short,https://lichess.org/5sLetxMo/black#70,
0f89h,3N4/8/3npk2/7p/3KP3/7P/8/8 b - - 6 49,d6f7 d8f7 f6f7 d4e5 h5h4 e5f4 f7f6 e4e5 f6g6 f4g4 g6h6 g4h4 h6g6 h4g4,2268,83,73,52,crushing endgame knightEndgame veryLong zugzwang,https://lichess.org/kW4JGh32/black#98,
